x"38dd540a", x"9425a602", x"73a801b9", x"c6289d1e", x"d6b61430", x"3acd2506", x"c3765473", x"83a63b31", 
x"e267a48e", x"5b1e22c3", x"2d8e7f7b", x"4bcc1c59", x"7efad60d", x"70b736b1", x"f3dfc9c4", x"9e0e7c53", 
x"6495d14b", x"146b1f24", x"6869adb3", x"5bbc08be", x"9030d849", x"f01ff041", x"45f03a82", x"ed4c5149", 
x"d09d01ed", x"fc923668", x"8685ab10", x"81094965", x"8c0de5c5", x"ad338823", x"2b68f0cf", x"32b69bf5", 
x"b7d629ee", x"fdb70ac8", x"0efca071", x"4134a70a", x"e6a07933", x"0164b9cb", x"19a980c6", x"cdf56ece", 
x"17255606", x"eca33982", x"b1e74930", x"f44a218f", x"dc1bc935", x"5c08427d", x"c172d6eb", x"03a6f6f6", 
x"ee74fee7", x"2cdadf4e", x"b5dafa3f", x"a8a9bcf5", x"d72bdf05", x"c95b0441", x"cbda079f", x"4f992319", 
x"c4aa9d2d", x"805fb312", x"dffaf7a0", x"38a6d6ec", x"fdaa17d5", x"67dc8496", x"093f06ab", x"120699f7", 
x"4a3ed564", x"bc524b8b", x"43bc203e", x"1b046efe", x"fa824cb8", x"96a7db26", x"a601d4a4", x"90538de6", 
x"0d518b50", x"5fc14849", x"5b581d12", x"ba1ca4d8", x"8925f1ea", x"a8ca7747", x"9aa92eea", x"4c806a43", 
x"173e3fd1", x"24f84378", x"794f683c", x"ecc0fd40", x"1aa207e1", x"0baf7a01", x"c685f0d6", x"f6271f08", 
x"6efbc8de", x"9fdf12e8", x"82045047", x"124c7456", x"26ee3411", x"ab4d0a93", x"ed5d63f3", x"8d11f9fc", 
x"1138f371", x"53d12f9b", x"d6506996", x"80097ec0", x"34275553", x"37abe0fb", x"0b002a16", x"b5ed08c4", 
x"2cdd7aac", x"565430b4", x"2a6b0b31", x"0edbd164", x"d16cc683", x"1057727d", x"bb0542f7", x"03a3d95a", 
